year,exam_type,city,affiliation,region_name,system_type,department_code,department_name,position_code,position_name,position_desc,exam_category,open_ratio,recruit_count,education,major_requirement,other_requirements,apply_count,competition_ratio,min_entry_score,max_entry_score,max_xingce_score,max_shenlun_score,max_police_score,min_police_score
2026,事业单位,六安市,市,,,,三元镇财政和资产管理服务中心,907008.0,专业技术,,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,上土市镇便民服务中心,903035.0,专业技术,结构化面试,社会科学专技类(B类),3,1,大专及以上,"专科：工商管理类（5306）、电子商务类（5307）
本科：工商管理类（1202）、农业经济管理类（1203）、公共管理类（1204）、电子商务类（1208）、旅游管理类（1209）
研究生：专业不限",38周岁及以下,,,,,,,,
2026,事业单位,六安市,市,,,,上土市镇便民服务中心,903036.0,专业技术,结构化面试,自然科学专技类(C类),3,1,大专及以上,"专科：电子信息类（5101）、计算机类（5102）
本科：电子信息类（0807）、计算机类（0809）
研究生：专业不限",38周岁及以下,,,,,,,,
2026,事业单位,六安市,市,,,,上土市镇经济发展和农业农村服务中心,903034.0,专业技术,结构化面试,社会科学专技类(B类),3,1,大专及以上,"专科：财政税务类（5301）
本科：经济学类（0201）、财政学类（0202）、金融学类（0203）
研究生：专业不限",38周岁及以下,,,,,,,,
2026,事业单位,六安市,市,,,,上土市镇综合行政执法大队,903037.0,管理,结构化面试,综合管理类(A类),3,1,大专及以上,"专科：建筑设计类（4401）、城乡规划与管理类（4402）
本科：材料类（0804）、电气类（0806）、土木类（0810）、建筑类（0828）
研究生：专业不限",38周岁及以下,,,,,,,,
2026,事业单位,六安市,市,,,,下属事业单位,905001.0,专业技术岗,"专业测试。
",,3,2,,,,,,,,,,,
2026,事业单位,六安市,市,,,,下属事业单位,905002.0,专业技术岗,"1.专业测试；
2.定向招聘“服务基层项目人员”。",,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,下属事业单位,905003.0,专业技术岗,"专业测试。
",,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,下属事业单位,905004.0,专业技术岗,"专业测试。
",,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,中共六安市裕安区委党校,906001.0,专业技术岗位,专业测试,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,中共六安市裕安区委党校,906002.0,专业技术岗位,专业测试,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,中共舒城县委政策研究中心,904002.0,管理,,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,临水镇卫生院,902027.0,专业技术岗,专业测试,医疗卫生类(E类),3,1,大专及以上,,38周岁及以下；具有执业助理医师及以上资格证书,,,,,,,,
2026,事业单位,六安市,市,,,,乌龙镇卫生院,902032.0,专业技术岗,专业测试,医疗卫生类(E类),3,1,大专及以上,,38周岁及以下,,,,,,,,
2026,事业单位,六安市,市,,,,乡镇下属事业单位,908083.0,专业技术岗,,,3,11,,,,,,,,,,,
2026,事业单位,六安市,市,,,,便民服务中心,908074.0,专业技术岗,,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,便民服务中心,908082.0,专业技术岗,,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市不动产登记中心,901057.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市不动产登记中心,901058.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市交通建设工程质量监督处,901077.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市交通运输综合行政执法支队,901075.0,管理岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市交通运输综合行政执法支队,901076.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市交通运输财务管理中心,901078.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市产品质量监督检验所,901098.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市产品质量监督检验所,901099.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,"六安市人大常委会机关信息中心
（市人大常委会预算联网监督中心）",901034.0,管理岗,"1.专业测试2；
2.专项招聘应届毕业生",,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市人才综合服务中心（六安市公共就业服务中心）,901054.0,专业技术岗,"1.专业测试2；
2.定向招聘“服务基层项目”人员",,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市住房公积金中心,901031.0,管理岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市住房公积金中心,901032.0,管理岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市住房公积金中心,901033.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市住房建设信息中心,901072.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市体育运动学校,901039.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
2026,事业单位,六安市,市,,,,六安市体育运动学校,901040.0,专业技术岗,专业测试2,,3,1,,,,,,,,,,,
